trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[0/328][454/578] prediction done | time : 0.65s
[0/328][455/578] prediction done | time : 0.65s
[0/328][456/578] prediction done | time : 0.65s
[0/328][457/578] prediction done | time : 0.66s
[0/328][458/578] prediction done | time : 0.65s
[0/328][459/578] prediction done | time : 0.65s
[0/328][460/578] prediction done | time : 0.66s
[0/328][461/578] prediction done | time : 0.66s
[0/328][462/578] prediction done | time : 0.66s
[0/328][463/578] prediction done | time : 0.66s
[0/328][464/578] prediction done | time : 0.66s
[0/328][465/578] prediction done | time : 0.67s
[0/328][466/578] prediction done | time : 0.67s
[0/328][467/578] prediction done | time : 0.67s
[0/328][468/578] prediction done | time : 0.67s
[0/328][469/578] prediction done | time : 0.67s
[0/328][470/578] prediction done | time : 0.67s
[0/328][471/578] prediction done | time : 0.67s
[0/328][472/578] prediction done | time : 0.68s
[0/328][473/578] prediction done | time : 0.68s
[0/328][474/578] prediction done | time : 0.67s
[0/328][475/578] prediction done | time : 0.68s
[0/328][476/578] prediction done | time : 0.69s
[0/328][477/578] prediction done | time : 0.68s
[0/328][478/578] prediction done | time : 0.68s
[0/328][479/578] prediction done | time : 0.68s
[0/328][480/578] prediction done | time : 0.69s
[0/328][481/578] prediction done | time : 0.69s
[0/328][482/578] prediction done | time : 0.69s
[0/328][483/578] prediction done | time : 0.69s
[0/328][484/578] prediction done | time : 0.70s
[0/328][485/578] prediction done | time : 0.69s
[0/328][486/578] prediction done | time : 0.69s
[0/328][487/578] prediction done | time : 0.70s
[0/328][488/578] prediction done | time : 0.70s
[0/328][489/578] prediction done | time : 0.70s
[0/328][490/578] prediction done | time : 0.70s
[0/328][491/578] prediction done | time : 0.70s
[0/328][492/578] prediction done | time : 0.71s
[0/328][493/578] prediction done | time : 0.70s
[0/328][494/578] prediction done | time : 0.70s
[0/328][495/578] prediction done | time : 0.72s
[0/328][496/578] prediction done | time : 0.71s
[0/328][497/578] prediction done | time : 0.71s
[0/328][498/578] prediction done | time : 0.71s
[0/328][499/578] prediction done | time : 0.72s
[0/328][500/578] prediction done | time : 0.71s
[0/328][501/578] prediction done | time : 0.71s
[0/328][502/578] prediction done | time : 0.72s
[0/328][503/578] prediction done | time : 0.72s
[0/328][504/578] prediction done | time : 0.72s
[0/328][505/578] prediction done | time : 0.72s
[0/328][506/578] prediction done | time : 0.72s
[0/328][507/578] prediction done | time : 0.73s
[0/328][508/578] prediction done | time : 0.73s
[0/328][509/578] prediction done | time : 0.73s
[0/328][510/578] prediction done | time : 0.73s
[0/328][511/578] prediction done | time : 0.73s
[0/328][512/578] prediction done | time : 0.73s
[0/328][513/578] prediction done | time : 0.74s
[0/328][514/578] prediction done | time : 0.73s
[0/328][515/578] prediction done | time : 0.74s
[0/328][516/578] prediction done | time : 0.74s
[0/328][517/578] prediction done | time : 0.74s
[0/328][518/578] prediction done | time : 0.74s
[0/328][519/578] prediction done | time : 0.75s
[0/328][520/578] prediction done | time : 0.74s
[0/328][521/578] prediction done | time : 0.74s
[0/328][522/578] prediction done | time : 0.74s
[0/328][523/578] prediction done | time : 0.75s
[0/328][524/578] prediction done | time : 0.75s
[0/328][525/578] prediction done | time : 0.75s
[0/328][526/578] prediction done | time : 0.75s
[0/328][527/578] prediction done | time : 0.76s
[0/328][528/578] prediction done | time : 0.76s
[0/328][529/578] prediction done | time : 0.76s
[0/328][530/578] prediction done | time : 0.76s
[0/328][531/578] prediction done | time : 0.76s
[0/328][532/578] prediction done | time : 0.76s
[0/328][533/578] prediction done | time : 0.76s
[0/328][534/578] prediction done | time : 0.76s
[0/328][535/578] prediction done | time : 0.77s
[0/328][536/578] prediction done | time : 0.77s
[0/328][537/578] prediction done | time : 0.77s
[0/328][538/578] prediction done | time : 0.77s
[0/328][539/578] prediction done | time : 0.77s
[0/328][540/578] prediction done | time : 0.77s
[0/328][541/578] prediction done | time : 0.77s
[0/328][542/578] prediction done | time : 0.77s
[0/328][543/578] prediction done | time : 0.78s
[0/328][544/578] prediction done | time : 0.78s
[0/328][545/578] prediction done | time : 0.78s
[0/328][546/578] prediction done | time : 0.78s
[0/328][547/578] prediction done | time : 0.79s
[0/328][548/578] prediction done | time : 0.78s
[0/328][549/578] prediction done | time : 0.78s
[0/328][550/578] prediction done | time : 0.78s
[0/328][551/578] prediction done | time : 0.80s
[0/328][552/578] prediction done | time : 0.79s
[0/328][553/578] prediction done | time : 0.79s
[0/328][554/578] prediction done | time : 0.79s
[0/328][555/578] prediction done | time : 0.79s
[0/328][556/578] prediction done | time : 0.79s
[0/328][557/578] prediction done | time : 0.80s
[0/328][558/578] prediction done | time : 0.80s
[0/328][559/578] prediction done | time : 0.80s
[0/328][560/578] prediction done | time : 0.80s
[0/328][561/578] prediction done | time : 0.80s
[0/328][562/578] prediction done | time : 0.81s
[0/328][563/578] prediction done | time : 0.81s
[0/328][564/578] prediction done | time : 0.81s
[0/328][565/578] prediction done | time : 0.82s
[0/328][566/578] prediction done | time : 0.81s
[0/328][567/578] prediction done | time : 0.82s
[0/328][568/578] prediction done | time : 0.82s
[0/328][569/578] prediction done | time : 0.82s
[0/328][570/578] prediction done | time : 0.81s
[0/328][571/578] prediction done | time : 0.82s
[0/328][572/578] prediction done | time : 0.82s
[0/328][573/578] prediction done | time : 0.82s
[0/328][574/578] prediction done | time : 0.82s
[0/328][575/578] prediction done | time : 0.82s
[0/328][576/578] prediction done | time : 0.83s
[0/328][577/578] prediction done | time : 0.83s
[0/328][578/578] prediction done | time : 0.83s
[1/328] prediction done | time : 239.94s
Test [1/328] : WER 101.76%
[1/328][1/470] prediction done | time : 0.00s
[1/328][2/470] prediction done | time : 0.00s
[1/328][3/470] prediction done | time : 0.00s
[1/328][4/470] prediction done | time : 0.01s
[1/328][5/470] prediction done | time : 0.01s
[1/328][6/470] prediction done | time : 0.01s
[1/328][7/470] prediction done | time : 0.01s
[1/328][8/470] prediction done | time : 0.01s
[1/328][9/470] prediction done | time : 0.01s
[1/328][10/470] prediction done | time : 0.01s
[1/328][11/470] prediction done | time : 0.02s
[1/328][12/470] prediction done | time : 0.02s
[1/328][13/470] prediction done | time : 0.02s
[1/328][14/470] prediction done | time : 0.02s
[1/328][15/470] prediction done | time : 0.02s
[1/328][16/470] prediction done | time : 0.02s
[1/328][17/470] prediction done | time : 0.02s
[1/328][18/470] prediction done | time : 0.03s
